user_id,feature_a,feature_b,feature_c,revenue,target
1,50.17096383626592,0.9409311129269357,102.43311022174456,116.2446847132619,1.0
2,56.79873770154981,0.7131564204233815,89.70422448035009,127.73619342225372,1.0
3,56.12360539292966,1.0474862871297028,89.85155114797297,121.00737100534334,1.0
4,47.44846461606166,-0.38924397003268574,91.73812291522097,121.86466953641975,1.0
5,48.510152444467764,0.7398063595133139,103.53427217974954,117.37469065549031,1.0
6,47.36307903483287,2.024481935859489,102.9584589409846,117.93695668960092,1.0
7,52.8486317878598,0.8036655593800595,92.54697069127293,121.7323498132769,1.0
8,49.71967780477191,-0.6198936689169603,107.37774596295455,105.25259991906358,1.0
9,53.73442808128272,0.6077124939345443,107.8469354090178,132.8964648978547,1.0
10,40.76337600512945,1.2623802917054945,101.72908164294878,113.69885158593745,1.0
11,57.832743873497606,0.3689862863896283,110.38388567755318,115.45348491951789,1.0
12,49.517839199221896,-0.5634006961428569,97.12637549392309,130.70797616572392,1.0
13,53.40189226637073,1.5430805830215768,98.86978864718093,121.7794698021188,1.0
14,49.31716833011586,-1.2497670465629258,104.72858674926634,120.33666843350434,1.0
15,48.10450716462574,0.5034250466559266,99.65955990722459,115.33344562319428,1.0
16,52.315550792987935,-0.016175574467128036,107.93899198451135,107.51064483030727,1.0
17,54.12256763765056,-1.1936657251775022,87.47331866806111,121.4795628414041,1.0
18,48.98735064653274,1.2194496835829487,114.25765059677497,129.56209110979805,1.0
19,49.236069107149014,0.3478875937013457,92.18728513746352,112.80275834633886,1.0
20,53.42849305404629,-1.166798177099069,98.35302150023068,130.90203889430887,1.0
21,45.64829679026414,0.6017283565618432,86.2245730091336,110.98286297001597,1.0
22,42.428082481343026,-0.43160042891134,106.0022231983893,114.12791099423828,1.0
23,51.97490931374765,-1.9027885021671262,112.73851373196493,124.04713239617854,1.0
24,46.647170881560605,-0.6889051253999523,110.71046928618783,120.00052182680147,1.0
25,40.398297049409855,0.2635514475016157,108.33374972262197,125.5271040089462,1.0
26,45.9297316802732,0.6357028862761235,84.42856730042706,114.0660952653627,1.0
27,47.662012205536264,0.16556490512827252,92.17831945721703,111.74590703585814,1.0
28,44.03398761283869,0.04516501126799043,95.37437008759836,105.06349839084683,1.0
29,42.53768057968483,0.46999000714326233,90.6526573280094,110.37031000279158,1.0
30,50.183189134724024,-0.210976101965214,111.22695230958675,111.39113796289628,1.0
31,54.486246283638735,1.176954603942294,101.84484312931268,108.58427503582011,1.0
32,48.834339610197716,0.14864164821343293,99.75522195774823,122.46768940272116,1.0
33,46.282019852455775,0.29392155247372515,104.87535732103507,114.68891867650701,1.0
34,51.924969043739544,0.540798991545746,90.48380962171734,104.09363950405235,1.0
35,53.58617903597192,-1.0571688403044779,90.91649271732808,139.86786113558745,1.0
36,48.499947007557616,-0.7092268763497593,91.18538009967162,113.32117070983014,1.0
37,52.72333903960446,1.5285791140398155,104.9762094896637,109.95592538063988,1.0
38,55.21437738291477,0.33530869036097966,103.41596379101505,129.91830588656498,1.0
39,48.96521781895838,-0.2826160786151785,105.78092467772177,129.3234706306056,1.0
40,45.93242229009214,0.3414835288114959,110.78383117529594,110.78927256513961,1.0
41,51.73825299257755,-0.48162223506155016,86.42699140961099,108.2081449000469,1.0
42,51.23772870481424,0.27856628863229466,94.39505613759415,111.99946599728337,1.0
43,55.494063842072045,-0.6658710549900579,101.47538093872694,129.03588634774047,1.0
44,43.577096105973276,0.27601881733916134,86.5125689282196,117.50991386165948,1.0
45,46.69193534822226,-1.5777025523190094,94.67824771667028,113.53041713308373,1.0
46,45.80916519642163,1.330919793665682,110.14028902903758,119.77302069804561,1.0
47,41.32992576883574,-0.5129578726969883,111.02644129537583,129.63353195921997,1.0
48,50.632172775984984,-1.5812411969951867,110.76706892413745,108.88359702475337,1.0
49,52.63902106247762,-0.2238416945870532,100.43017686109188,116.92958575557462,1.0
50,46.306049842620965,-0.3709961947182103,97.88032462956903,108.93219504061483,1.0
51,56.92823537248079,0.15239841860045156,110.79524690175616,137.3772439786388,1.0
52,54.10962168330218,-1.145250608848122,96.27354003556914,134.54655627494716,1.0
53,53.136882394177675,0.3974655997902583,103.3823899017528,127.60929663306709,1.0
