user_id,feature_a,feature_b,feature_c,revenue
1,11.106521177777477,22.81617046963053,32.305801868665,37.044722588362625
2,10.435201218438948,20.84605648486924,26.840564242255642,37.00035356673452
3,9.884020024266947,20.796759209868917,30.852652836775437,40.03365692077282
4,5.362127810556869,20.72329571429418,25.854045995733582,35.79550456830346
5,10.8629883354177,17.697917640988795,22.31420454432217,30.41356643202504
6,5.747440431098236,20.483871277130675,30.69263121250135,36.36618467875881
7,11.819842434045269,22.43671046046406,30.32834573318049,43.50033037664278
8,11.211931146012827,18.982788848694604,32.96440085431211,41.17023252893449
9,11.660113297156832,23.5185059636602,33.28530906418464,44.64715795401253
10,11.655396687430775,11.473596332944453,25.044757956834353,48.39004454712854
11,10.597028939666442,19.020464918800492,26.341335263153095,44.37603904271826
12,8.929997172532145,25.100660706518443,29.947829641271973,39.70601229220276
13,9.385875425988408,22.620660972029416,30.254628630700157,36.25230726415699
14,13.016144543144268,24.33251855862183,31.596673545709795,42.30678976334698
15,8.835541244388196,20.43837559401844,24.72875524700952,48.00721376434912
16,9.543752392297431,16.45482756144223,28.94632413586354,47.094361236956324
17,8.550970991167429,18.468646953827133,32.51560281894269,44.66431461845141
18,8.965501325018435,24.56659155990329,37.531327322036084,35.996899265411535
19,9.38688423609086,14.490255367934228,24.92469317529525,42.905210153746914
20,10.51310329173504,17.139104826462244,36.42105768778011,43.53132714898075
21,9.4122878899484,14.858196764512982,28.79224732138754,46.11611553520646
22,9.290583070022464,18.399095106444303,24.15870529522901,33.683453413823074
23,8.7663696949257,18.736286029827646,35.25391600691561,36.53003294196194
24,10.179168933812177,21.739809021498257,25.655796654432095,40.690395478521
25,7.311667998386729,17.528253735713996,25.25098875423191,40.62421081962274
26,10.104369798615553,25.140500090973354,32.79325338719004,36.96545361709368
27,12.620051464697063,21.943182169521705,34.05977371530296,42.49860412863017
28,8.466174242332292,18.587284490373488,30.181707260468926,38.5362292552752
29,9.909216523933027,17.026806398509628,27.023959020508972,45.5255711738147
30,15.634418032968487,15.506430111279641,23.940523884634622,37.57415010954282
31,8.014651180478086,20.370084122446702,30.330685744559183,40.992222975593315
32,6.757716951576263,25.951143914638443,20.545183109512223,29.546502756937027
33,9.146381736840155,19.51860606461075,24.070756658812968,41.015806026372374
34,13.613875960756337,16.92156999147015,34.12335997202721,36.68904101090076
35,14.070231023568182,19.832355060385208,32.359069739873505,43.54016060314138
36,7.5680254737389605,18.45825698200428,34.75789882596313,39.145256426331315
37,11.140281176940675,17.29559085841102,31.506805730102112,46.13346774999293
38,10.00904286268627,14.31943678081717,25.298602353527148,37.352657308554825
39,8.823258489129303,19.83975170819398,31.747723732228817,32.84196907959636
40,6.108604365290477,24.466684275561665,22.618518104188514,41.19713432143468
41,12.04916795941432,23.694447595140062,32.63274866008581,42.89751977466768
42,8.278923386539843,22.962718838008573,35.30467357395077,36.288972662487666
43,10.598015368348419,20.644692962536823,25.837777261957186,33.53850367700673
44,10.163787926341149,21.432398553137226,33.944838965989014,43.775965441102926
45,13.740362537794569,23.051552887579057,29.988360481899853,45.25290622933317
46,12.351989578827174,19.856720209691268,29.184436878602593,43.6524275283051
47,7.689327873478245,20.867958855391304,21.931198536800352,40.45444143631955
48,9.475209688244785,18.825728283926374,29.19830271233212,40.00625527641147
49,12.073695105457954,23.422349625752616,33.29214948692153,48.1489327223609
50,7.333970071437323,17.245374923842636,22.96032614801631,44.007876304742915
51,9.215423336266129,22.070300102184344,27.886510570563747,35.48727681351561
52,10.455151601404125,22.595059487125447,26.9970811158112,34.64609381524687
53,6.768347682635257,22.53816591650111,23.301655921671713,43.13019527986962
54,7.529083707126427,22.16417452801578,33.98943822813302,43.66246316966761
55,6.591845991765812,18.63765122902811,29.890749668050546,36.96144408509875
56,10.573951757572262,18.33888488677227,29.980000590393683,36.23702825083238
57,8.876971062040411,18.795760375159965,33.74577541753516,44.831081987337015
58,11.857296575290992,18.90761729469737,26.806727221674265,38.448620729075195
59,10.227588507130465,16.654815591651882,42.834368544130925,44.185741690157585
